# board	directory	bounty	criterionKind	task-uuid
debruijn26	debruijn26	100	deterministic	-
debruijn33	debruijn33	100	deterministic	-
mols4	mols4	100	deterministic	-
sts13	sts13	100	deterministic	-
hadamard12	hadamard12	100	deterministic	-
costas12	costas12	100	deterministic	-
golomb8	golomb8	100	deterministic	01a0a5a9-cf12-7ca4-b061-d669e77c6631
difference21	difference21	100	deterministic	-
egyptian121	egyptian121	100	deterministic	-
graceful7	graceful7	100	deterministic	-
sts15	sts15	250	deterministic	-
kirkman15	kirkman15	250	deterministic	-
plane4	plane4	250	deterministic	-
hadamard28	hadamard28	250	deterministic	-
golomb11	golomb11	250	deterministic	-
costas17	costas17	250	deterministic	-
nothree10	nothree10	250	deterministic	-
biplane11	biplane11	250	deterministic	-
paley13	paley13	250	deterministic	-
petersen	petersen	250	deterministic	-
sidon100	sidon100	250	deterministic	-
code10	code10	250	deterministic	-
ramsey17	ramsey17	500	deterministic	-
sts19	sts19	500	deterministic	-
golomb13	golomb13	500	deterministic	-
heilbronn7	heilbronn7	500	deterministic	-
spread11	spread11	500	deterministic	-
complexity	complexity	500	deterministic	-
costas19	costas19	500	deterministic	-
nothree14	nothree14	500	deterministic	-
